epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8878,2.24095,4.01714,1.55449,0.02422,0.70091,0.1351,0.05535,1.32758,3.89549,0.98459,0.000326667,0.000326667,0.000326667
2,46.5554,1.24029,2.0619,1.06084,0.56767,0.35559,0.49899,0.35313,1.10376,2.43172,0.97372,0.00052932,0.00052932,0.00052932
3,59.3481,1.04555,1.43966,0.98796,0.73414,0.70125,0.77513,0.57774,0.94795,1.39314,0.94902,0.000599973,0.000599973,0.000599973
4,72.0952,0.93802,1.11629,0.95446,0.84094,0.82309,0.90149,0.67274,0.90906,0.94159,0.93995,0.000406,0.000406,0.000406
5,84.5903,0.87668,0.94302,0.93432,0.85502,0.87252,0.9283,0.71034,0.83841,0.80723,0.92143,0.000208,0.000208,0.000208
